Close,Volume,12-Month Inflation,Mean,Unemployment,Interest rates
130.0,1800,6.78,147.3559,4.9,10.5
130.0,1800,6.78,147.3559,4.9,10.5
133.5,11800,6.78,147.2647,4.9,10.5
133.5,11800,6.78,147.2647,4.9,10.5
133.5,11800,6.78,147.2647,4.9,10.5
133.5,11800,6.78,147.2647,4.9,10.5
132.0,8200,6.78,147.1412,4.9,10.5
132.0,8200,6.78,147.1412,4.9,10.5
132.0,8200,6.78,147.1412,4.9,10.5
132.0,8200,6.78,147.1412,4.9,10.5
132.0,8200,6.78,147.1412,4.9,10.5
132.0,8200,6.78,147.1412,4.9,10.5
132.0,8200,6.78,147.1412,4.9,10.5
135.0,4000,6.78,147.0059,4.9,10.5
130.0,400,6.78,146.9059,4.9,10.5
130.0,15500,6.78,146.7918,4.9,10.5
131.0,100,6.78,146.6588,4.9,10.5
137.0,20800,6.78,146.4912,4.9,10.5
131.0,16700,6.78,146.3618,4.9,10.5
130.0,4800,6.78,146.2206,4.9,10.5
130.25,3900,6.78,146.1353,4.9,10.5
129.0,9600,6.78,146.0412,4.9,10.5
130.0,5000,6.78,145.9147,4.9,10.5
132.0,12400,6.78,145.7559,4.9,10.5
132.0,9200,6.78,145.6324,4.9,10.5
135.0,4100,6.78,145.5088,4.9,10.5
140.0,38800,6.73,145.4059,4.9,10.5
132.0,8500,6.73,145.2618,4.9,10.5
135.0,2800,6.73,145.15,4.9,10.5
135.0,3200,6.73,144.9941,4.9,10.5
132.0,400,6.73,144.8735,4.9,10.5
135.0,1400,6.73,144.7176,4.9,10.5
126.0,2600,6.73,144.5559,4.9,10.5
125.25,180600,6.73,144.4059,4.9,10.5
127.0,117600,6.73,144.3176,4.9,10.5
127.0,117600,6.73,144.3176,4.9,10.5
127.0,117600,6.73,144.3176,4.9,10.5
125.25,326300,6.73,144.1824,4.9,10.5
125.25,326300,6.73,144.1824,4.9,10.5
125.25,326300,6.73,144.1824,4.9,10.5
125.25,326300,6.73,144.1824,4.9,10.5
125.25,326300,6.73,144.1824,4.9,10.5
125.25,326300,6.73,144.1824,4.9,10.5
125.25,326300,6.73,144.1824,4.9,10.5
125.25,326300,6.73,144.1824,4.9,10.5
125.25,326300,6.73,144.1824,4.9,10.5
125.25,326300,6.73,144.1824,4.9,10.5
125.25,326300,6.73,144.1824,4.9,10.5
131.5,7100,6.73,144.0441,4.9,10.5
134.0,1955500,6.73,143.9088,4.9,10.5
135.0,10400,6.73,143.7588,4.9,10.5
135.0,10400,6.73,143.7588,4.9,10.5
135.0,10400,6.73,143.7588,4.9,10.5
139.75,3700,6.73,143.6088,4.9,10.5
134.0,23000,6.73,143.5765,4.9,10.5
140.0,3100,6.73,143.4441,4.9,10.5
140.0,3100,6.73,143.4441,4.9,10.5
144.75,13800,6.73,143.2735,4.9,10.5
142.75,27800,6.73,143.1176,4.9,10.5
143.0,25000,6.73,142.9882,4.9,10.5
142.0,21300,6.73,142.8868,4.9,10.5
145.0,4400,6.73,142.7765,4.9,10.5
154.0,2300,6.73,142.6412,4.9,10.5
141.0,35700,6.73,142.5265,4.9,10.5
141.0,35700,6.73,142.5265,4.9,10.5
141.0,35700,6.73,142.5265,4.9,10.5
140.0,19100,7.28,142.3647,4.9,10.5
149.0,11800,7.28,142.2971,4.9,10.5
149.0,11800,7.28,142.2971,4.9,10.5
149.0,11800,7.28,142.2971,4.9,10.5
149.0,11800,7.28,142.2971,4.9,10.5
149.0,11800,7.28,142.2971,4.9,10.5
149.0,11800,7.28,142.2971,4.9,10.5
149.0,11800,7.28,142.2971,4.9,10.5
149.0,11800,7.28,142.2971,4.9,10.5
149.0,11800,7.28,142.2971,4.9,10.5
149.0,11800,7.28,142.2971,4.9,10.5
165.0,1400,7.28,142.2,4.9,10.5
165.0,1400,7.28,142.2,4.9,10.5
164.0,1500,7.28,142.1176,4.9,10.5
160.0,200,7.28,141.9985,4.9,10.5
160.75,0,7.28,141.8426,4.9,10.5
160.75,0,7.28,141.8426,4.9,10.5
160.0,7200,7.28,141.7747,4.9,10.5
164.0,1400,7.28,141.6971,4.9,10.5
164.0,1400,7.28,141.6971,4.9,10.5
164.0,3300,7.28,141.5912,4.9,10.5
165.0,4500,7.28,141.4971,4.9,10.5
166.5,1700,7.28,141.4412,4.9,10.5
165.0,7500,7.28,141.3824,4.9,10.5
165.0,7500,7.28,141.3824,4.9,10.5
163.0,13400,7.28,141.2853,4.9,10.5
164.75,3300,7.28,141.2088,4.9,10.5
160.0,5800,7.28,141.0647,4.9,10.5
157.0,9600,7.28,140.9853,4.9,10.5
157.0,7400,7.28,140.9206,4.9,10.5
160.0,7500,7.28,140.7824,4.9,10.5
158.0,11900,7.28,140.7235,4.9,10.5
155.0,3400,7.28,140.6735,4.9,10.5
160.0,5100,7.28,140.5735,4.9,10.5
155.0,1100,7.88,140.5235,4.9,10.5
156.0,600,7.88,140.45,4.9,10.5
156.0,600,7.88,140.45,4.9,10.5
157.0,81000,7.88,140.4441,4.9,10.5
157.0,503300,7.88,140.4412,4.9,10.5
153.0,131400,7.88,140.4029,4.9,10.5
152.5,442800,7.88,140.3059,4.9,10.5
152.5,442800,7.88,140.3059,4.9,10.5
152.5,442800,7.88,140.3059,4.9,10.5
150.0,3400,7.88,140.2,4.9,10.5
155.0,202300,7.88,140.1206,4.9,10.5
154.5,28200,7.88,140.0412,4.9,10.5
159.0,3000,7.88,139.8706,4.9,10.5
154.0,461200,7.88,139.7118,4.9,10.5
162.0,111800,7.88,139.6276,4.9,10.5
165.0,155400,7.88,139.4776,4.9,10.5
167.0,72900,7.88,139.35,4.9,10.5
165.25,6200,7.88,139.2235,4.9,10.5
165.25,6200,7.88,139.2235,4.9,10.5
154.25,600,7.88,139.1124,4.9,10.5
154.25,600,7.88,139.1124,4.9,10.5
154.25,600,7.88,139.1124,4.9,10.5
154.25,600,7.88,139.1124,4.9,10.5
154.25,600,7.88,139.1124,4.9,10.5
154.25,600,7.88,139.1124,4.9,10.5
154.25,600,7.88,139.1124,4.9,10.5
154.25,600,7.88,139.1124,4.9,10.5
154.25,600,7.88,139.1124,4.9,10.5
154.25,600,7.88,139.1124,4.9,10.5
154.0,7000,7.88,138.9676,4.9,10.5
165.25,30700,7.88,138.8735,4.9,10.5
163.5,1500,7.88,138.7559,4.9,10.5
160.0,100300,7.88,138.6088,4.9,10.5
150.0,3600,8.03,138.4912,4.9,9.5
150.0,3600,8.03,138.4912,4.9,9.5
150.0,3600,8.03,138.4912,4.9,9.5
150.0,3600,8.03,138.4912,4.9,9.5
150.0,3600,8.03,138.4912,4.9,9.5
156.75,600,8.03,138.4176,4.9,9.5
156.75,600,8.03,138.4176,4.9,9.5
156.75,600,8.03,138.4176,4.9,9.5
156.75,600,8.03,138.4176,4.9,9.5
156.75,600,8.03,138.4176,4.9,9.5
147.0,118300,8.03,138.3324,4.9,9.5
147.0,118300,8.03,138.3324,4.9,9.5
147.0,118300,8.03,138.3324,4.9,9.5
147.0,118300,8.03,138.3324,4.9,9.5
147.0,118300,8.03,138.3324,4.9,9.5
147.0,118300,8.03,138.3324,4.9,9.5
147.0,118300,8.03,138.3324,4.9,9.5
147.0,118300,8.03,138.3324,4.9,9.5
147.0,118300,8.03,138.3324,4.9,9.5
147.0,118300,8.03,138.3324,4.9,9.5
147.0,118300,8.03,138.3324,4.9,9.5
147.0,118300,8.03,138.3324,4.9,9.5
147.0,118300,8.03,138.3324,4.9,9.5
147.0,21100,8.03,138.2529,4.9,9.5
146.0,70800,8.03,138.1324,4.9,9.5
146.0,73100,8.03,137.9559,4.9,9.5
146.0,73100,8.03,137.9559,4.9,9.5
146.0,73100,8.03,137.9559,4.9,9.5
145.25,39400,8.03,137.7618,4.9,9.5
145.25,39400,8.03,137.7618,4.9,9.5
145.5,1700,8.03,137.6265,4.9,9.5
145.5,1700,8.03,137.6265,4.9,9.5
145.5,1700,8.03,137.6265,4.9,9.5
145.5,1700,8.03,137.6265,4.9,9.5
145.5,1700,8.03,137.6265,4.9,9.5
148.0,15100,8.03,137.4912,4.9,9.5
149.0,200,8.03,137.3735,4.9,9.5
150.0,73000,8.03,137.2382,4.9,9.5
150.0,150500,8.03,137.1029,4.9,9.5
142.0,783200,8.03,136.9794,4.9,9.5
138.0,9900,8.03,136.8765,4.9,9.5
135.0,906900,8.03,136.7912,4.9,9.5
142.0,332300,8.03,136.6765,4.9,9.5
145.0,12000,8.03,136.5853,4.9,9.5
149.0,2300,8.03,136.4676,4.9,9.5
149.0,2300,8.03,136.4676,4.9,9.5
149.0,2300,8.03,136.4676,4.9,9.5
149.0,2300,8.03,136.4676,4.9,9.5
149.0,2300,8.03,136.4676,4.9,9.5
149.0,2300,8.03,136.4676,4.9,9.5
149.0,2300,8.03,136.4676,4.9,9.5
149.0,111700,8.03,136.3971,4.9,9.5
150.0,4900,8.03,136.2618,4.9,9.5
150.0,4900,8.03,136.2618,4.9,9.5
145.0,222200,8.03,136.1529,4.9,9.5
155.0,348700,8.03,136.0176,4.9,9.5
160.0,5500,7.9,135.9118,4.9,9.5
160.0,5500,7.9,135.9118,4.9,9.5
160.0,18800,7.9,135.8324,4.9,9.5
159.0,1300,7.9,135.6588,4.9,9.5
165.0,11300,7.9,135.4824,4.9,9.5
158.0,80100,7.9,135.3147,4.9,9.5
160.0,19500,7.9,135.1912,4.9,9.5
160.0,19500,7.9,135.1912,4.9,9.5
164.0,8200,7.9,134.9735,4.9,9.5
164.0,8200,7.9,134.9735,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
168.0,1200,7.9,134.7382,4.9,9.5
169.0,34700,7.9,134.5676,4.9,9.5
169.5,17200,7.9,134.3529,4.9,9.5
169.5,17200,7.9,134.3529,4.9,9.5
169.5,105300,7.9,133.9529,4.9,9.5
169.5,105300,7.9,133.9529,4.9,9.5
169.0,2300,7.9,133.7235,4.9,9.5
169.5,85500,7.9,133.5882,4.9,9.5
167.25,400,7.9,133.3,4.9,9.5
167.25,400,7.9,133.3,4.9,9.5
170.0,5000,7.9,132.9412,4.9,9.5
170.0,4800,7.9,132.6735,4.9,9.5
170.0,4800,7.9,132.6735,4.9,9.5
170.0,567900,7.9,132.5206,4.9,9.5
170.0,567900,7.9,132.5206,4.9,9.5
170.0,567900,7.9,132.5206,4.9,9.5
170.0,567900,7.9,132.5206,4.9,9.5
170.0,567900,7.9,132.5206,4.9,9.5
170.0,567900,7.9,132.5206,4.9,9.5
170.0,567900,7.9,132.5206,4.9,9.5
170.0,567900,7.9,132.5206,4.9,9.5
170.0,567900,7.9,132.5206,4.9,9.5
170.0,567900,7.9,132.5206,4.9,9.5
170.0,567900,7.9,132.5206,4.9,9.5
170.0,567900,7.9,132.5206,4.9,9.5
170.0,567900,7.9,132.5206,4.9,9.5
170.0,567900,7.9,132.5206,4.9,9.5
170.0,567900,7.9,132.5206,4.9,9.5
170.0,320900,9.19,132.3324,4.9,9.5
170.0,320900,9.19,132.3324,4.9,9.5
171.25,224200,9.19,132.1265,4.9,9.5
175.0,6200,9.19,131.7765,4.9,9.5
175.0,6200,9.19,131.7765,4.9,9.5
175.0,6200,9.19,131.7765,4.9,9.5
171.0,120400,9.19,131.5294,4.9,9.5
172.0,43700,9.19,131.3971,4.9,9.5
172.0,237700,9.19,131.2735,4.9,9.5
170.0,97200,9.19,130.9941,4.9,9.5
162.0,152900,9.19,130.6176,4.9,9.5
170.0,35100,9.19,130.3206,4.9,9.5
170.0,100,9.19,130.0088,4.9,9.5
180.0,161800,9.19,129.8824,4.9,9.5
171.0,11200,9.19,129.7618,4.9,9.5
175.0,10200,9.19,129.5882,4.9,9.5
175.0,12100,9.19,129.4529,4.9,9.5
165.0,23700,9.19,129.2412,4.9,9.5
165.0,23900,9.19,128.8882,4.9,9.5
171.0,400,9.19,128.5912,4.9,9.5
170.0,10000,9.19,128.3618,4.9,9.5
170.0,10000,9.19,128.3618,4.9,9.5
170.0,17900,9.19,128.1088,4.9,9.5
170.0,17900,9.19,128.1088,4.9,9.5
175.25,500,9.19,127.7559,4.9,9.5
174.75,21600,9.19,127.2941,4.9,9.5
174.75,21600,9.19,127.2941,4.9,9.5
174.75,21600,9.19,127.2941,4.9,9.5
175.0,2600,9.19,127.0794,4.9,9.5
174.0,11700,9.23,126.8529,4.9,8.75
175.0,7800,9.23,126.6147,4.9,8.75
175.0,7800,9.23,126.6147,4.9,8.75
175.0,7800,9.23,126.6147,4.9,8.75
175.0,7800,9.23,126.6147,4.9,8.75
175.0,7800,9.23,126.6147,4.9,8.75
179.0,1200,9.23,126.4294,4.9,8.75
174.0,6800,9.23,126.2676,4.9,8.75
168.25,2100,9.23,126.0794,4.9,8.75
174.0,6100,9.23,125.9353,4.9,8.75
174.0,6100,9.23,125.9353,4.9,8.75
171.0,2400,9.23,125.7706,4.9,8.75
180.0,13300,9.23,125.6265,4.9,8.75
180.0,13300,9.23,125.6265,4.9,8.75
180.0,13300,9.23,125.6265,4.9,8.75
181.5,25700,9.23,125.5235,4.9,8.75
181.5,39700,9.23,125.3824,4.9,8.75
181.5,39700,9.23,125.3824,4.9,8.75
181.5,39700,9.23,125.3824,4.9,8.75
181.5,39700,9.23,125.3824,4.9,8.75
181.5,39700,9.23,125.3824,4.9,8.75
181.5,39700,9.23,125.3824,4.9,8.75
181.5,21700,9.23,125.2735,4.9,8.75
181.0,2200,9.23,125.1882,4.9,8.75
181.0,20400,9.23,125.0765,4.9,8.75
180.0,22400,9.23,124.9824,4.9,8.75
180.0,22400,9.23,124.9824,4.9,8.75
180.0,22400,9.23,124.9824,4.9,8.75
180.0,22400,9.23,124.9824,4.9,8.75
180.0,22400,9.23,124.9824,4.9,8.75
180.0,22400,9.23,124.9824,4.9,8.75
180.0,22400,9.23,124.9824,4.9,8.75
180.0,22400,9.23,124.9824,4.9,8.75
180.0,151000,9.23,124.8794,4.9,8.75
177.25,19000,9.23,124.8,4.9,8.75
177.0,12700,9.23,124.6618,4.9,8.75
176.0,6000,9.23,124.5941,4.9,8.75
176.0,6000,9.23,124.5941,4.9,8.75
176.0,2500,9.23,124.5235,4.9,8.75
176.0,59200,9.23,124.4765,4.9,8.75
180.0,32700,8.98,124.4029,4.9,8.75
180.0,32700,8.98,124.4029,4.9,8.75
180.0,32700,8.98,124.4029,4.9,8.75
180.0,32700,8.98,124.4029,4.9,8.75
175.0,7800,8.98,124.3912,4.9,8.75
173.5,42100,8.98,124.35,4.9,8.75
173.5,42100,8.98,124.35,4.9,8.75
173.5,42100,8.98,124.35,4.9,8.75
173.5,42100,8.98,124.35,4.9,8.75
173.5,42100,8.98,124.35,4.9,8.75
173.5,42100,8.98,124.35,4.9,8.75
173.5,42100,8.98,124.35,4.9,8.75
172.0,6900,8.98,124.3,4.9,8.75
168.0,145200,8.98,124.2471,4.9,8.75
166.0,11600,8.98,124.1735,4.9,8.75
170.0,10400,8.98,124.1265,4.9,8.75
170.0,30100,8.98,124.0941,4.9,8.75
170.0,150500,8.98,124.05,4.9,8.75
170.0,400900,8.98,124.0088,4.9,8.75
171.5,107000,8.98,123.9441,4.9,8.75
