text,date,No_of_likes,No_of_tweets
"Hadi Eabl, pilsner etc ni za Kenya tu. Hadi chrome na London distiller brands.  Am not supporting Eabl thou. Katambe!",2023-01-11 21:15:00+00:00,0,0
"@EABL_PLC , what is wrong with Chrome $Gilbeys?",2023-01-07 14:51:00+00:00,0,0
"@EABL_PLC ebu ingilia hii story ju nko karibu kuachana na stori za chrome.  Ebu create a one off seal type, which is hard to counterfeit ata kama ina hologram or sth. And you change it every month or two.",2023-01-07 12:14:00+00:00,0,0
Has EABL Discontinued the Chrome Gin Brand? https://pigafirimbi.africauncensored.online/eabl-discontinued-chrome-gin-check/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,2023-01-06 03:01:00+00:00,1,0
"@EABL_PLC what are you doing about counterfeits? We need to know the next minute we grab a chrome vodka, it'll be the real thing not some spirit made in a farm with sediments...",2023-01-04 21:18:00+00:00,0,0
Has EABL Discontinued the Chrome Gin Brand? https://pigafirimbi.africauncensored.online/eabl-discontinued-chrome-gin-check/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,2022-12-31 18:55:00+00:00,0,0
Chrome gin limited it's where it's at.  Top Gin. Thank you @EABL_PLC,2022-12-30 18:56:00+00:00,0,0
Kwani watu hawajui magic Iko Kwa chrome @EABL_PLC,2022-12-28 07:17:00+00:00,2,0
"Mlidrag @EABL_PLC about stopping production of chrome gin, wakaredeem na chupa zingine safi safi.😋",2022-12-24 18:48:00+00:00,0,0
"EABL iliacha kuuza chrome some yrs ago, but it's still flooded in ghe market 😂are you thinking what I'm thinking 😇",2022-12-22 18:28:00+00:00,0,0
EABL iliacha kuuza Chrome 2017😂sijui ni nini mnakunywa huku nje😮‍💨,2022-12-22 18:22:00+00:00,0,0
@EABL_PLC @Chrome_KE @GilbeysKe,2022-12-22 09:36:00+00:00,0,0
99% of this lady's tweets are usually fake news and people believe her.  She literally started the fake Chrome gin story to a point EABL had to release a statement,2022-12-21 17:21:00+00:00,5,2
Kujinauwo is di real slogan,2022-12-20 16:21:00+00:00,0,0
Streets ziko na filosofi mob. Tumekam na Chrome limited edition packs zingine 3 na attitude za uzito. Gani ni tru kwako?​ Sherehe ✔️​ Kujinauwo ✔️​ Kitu safi ✔️​ #StreetFilosofia @Chrome_KE @EABL_PLC @ZJHENO #VybezAdrenaline,2022-12-20 16:00:00+00:00,12,1
Has EABL Discontinued the Chrome Gin Brand? https://pigafirimbi.africauncensored.online/eabl-discontinued-chrome-gin-check/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,2022-12-20 02:56:00+00:00,2,0
I will release my chrome gin freestyle today hoping to patner with eabl on marketing,2022-12-17 06:27:00+00:00,0,0
Eabl saa hii wanakunywa chrome moto,2022-12-16 10:07:00+00:00,23,0
"Sherehe - for fun lovers   Kujinauwo -For the  people who believe in themselves and are proud of their hoods.  Product and price is the same  Which Chrome Gin are you buying today? Sherehe, Kitu Safi  or Kujinauwo. Enjoy the new 3 pack ChromeGin Limited Edition @EABL_PLC",2022-12-15 11:49:00+00:00,9,0
