text,date,No_of_likes,No_of_tweets
"EABL recently announced intention to enter a conditional transaction to purchase an additional 30% shareholding in its subsidiary, Serengeti Breweries Ltd (SBL).  https://bit.ly/EABL_Note26Mar2020",2020-03-26 19:21:00+00:00,0,0
EABL to Acquire 30% Stake in Serengeti Breweries https://wp.me/p8hE44-cYF via @kenyanwalstreet,2020-03-23 20:38:00+00:00,2,0
EABL raises stake in Serengeti/PZ Cussons Nigeria sells dairy unit/Tongaat Hulett invests in Mozambique/Danone partners Incofin IM/Tz firm list on DSE - https://mailchi.mp/foodbusinessafrica.com/wilmar-invests-in-sabreadfast-raises-fundsrwanda-inaugurates-irrigation-schemeeac-to-establish-aflatoxin-billtiger-brands-opens-new-mill-882889,2020-03-23 03:30:00+00:00,0,0
EABL veut acquérir 30 % des parts de sa filiale tanzanienne Serengeti Breweries | https://www.agenceecofin.com/industrie/2003-75020-eabl-veut-acquerir-30-des-parts-de-sa-filiale-tanzanienne-serengeti-breweries,2020-03-21 11:34:00+00:00,0,0
EABL to Acquire 30% Stake in Serengeti Breweries https://wp.me/p8hE44-cYF via @kenyanwalstreet,2020-03-21 10:39:00+00:00,0,0
Why should EABL reduce its exposure to Serengeti?,2020-03-20 23:10:00+00:00,0,0
Ecofin - EABL veut acquérir 30 % des parts de sa filiale tanzanienne Serengeti Breweries tinyurl.com/wfde7gt,2020-03-20 21:41:00+00:00,0,0
EABL to increase shares in Serengeti Breweries https://sudan.timesofnews.com/business-economy/eabl-to-increase-shares-in-serengeti-breweries.html,2020-03-20 20:38:00+00:00,0,0
EABL eyes additional 30pc stake in Serengeti Breweries  Business Daily twib.in/l/zzKE55ayELop via @theafricamentor #business #africabiz,2020-03-20 15:23:00+00:00,0,0
EABL eyes additional 30pc stake in Serengeti https://www.businessdailyafrica.com/corporate/companies/EABL-eyes-additional-30pc-stake-in-Serengeti-Breweries/4003102-5498090-c66ilrz/index.html via @BD_Africa,2020-03-20 14:09:00+00:00,0,0
EABL eyes additional 30pc stake in Serengeti Breweries ow.ly/Ec9e30qripQ [@BD_Africa],2020-03-20 13:50:00+00:00,0,0
"EABL buying additional shares in Serengeti. Hopefully its a non-cash transaction because the balance sheet is illiquid. Also, shouldn't EABL be reducing exposure to Serengeti?",2020-03-20 12:31:00+00:00,5,1
EABL eyes additional 30pc stake in Serengeti https://bit.ly/2xfgPS4,2020-03-20 11:52:00+00:00,3,0
EABL to increase shares in Serengeti Breweries : The Standard  newssummedup.com/a/dutk54,2020-03-20 10:29:00+00:00,0,0
"EABL to acquire 30% stake in Tanzania's second-largest beer company, Serengeti Breweries.  Wasiue tu product zetu, na kusingizia Product cannibalization, Fair competition kuweni macho.   https://wp.me/p8hE44-cYF",2020-03-20 10:28:00+00:00,3,0
"EABL to acquire 30% stake in Tanzania's second-largest beer company, Serengeti Breweries https://wp.me/p8hE44-cYF",2020-03-20 10:01:00+00:00,9,0
East African Breweries Limited (EABL) has issued a precautionary statement to its shareholders over its intentions to purchase 30% shares in Serengeti Breweries limited.  https://metropoltv.co.ke/2020/03/20/eabl-to-acquire-30-p-c-shareholding-in-serengeti-breweries/,2020-03-20 09:35:00+00:00,4,0
"#inthepapers @EABL_PLC to buy an additional 30% of its Tanzania subsidiary, Serengeti Breweries. bankelele.co.ke/2010/09/eabl…",2020-03-20 05:04:00+00:00,1,0
EABL hit a 9 month high of Kes 220 after it raised it's stake in Serengeti Breweries to 74.5% and announcing a Kes 7.2 billion HY profit. Interim dividend Kes 3. @franklin_mutua @MihrThakar #KOTLoyalsOnly #ThursdayThoughts,2020-02-06 09:34:00+00:00,2,0
EABL’s Serengeti stake up to 74.5pc bit.ly/37YgnFc,2020-02-04 13:41:00+00:00,2,0
