text,date,No_of_likes,No_of_tweets
"It is amazing to see how much you've grown over time, curtesy of #scholarships, personal & team efforts. It is a pace set for the kenyan Entreprenuers in achieving vision 2030. How I wish you can also help other grow through #jobs, #mentorships #apprenticeships  and #internships",2021-10-08 22:39:00+00:00,1,0
DP Ruto Weston Hotel Addresses Concern After Big Night Scare #NgapataSwimmingPool Mandago Millicent Omanga Mutua Kalonzo #MountainNaOkA Mount Kenya Foundation EABL Safari Park Hotel Laikipia KPLC Kenya Power One Kenya Alliance https://litkenya.com/dp-rutos-weston-hotel-addresses-concern-after-big-night-scare/,2021-10-07 13:08:00+00:00,1,0
"Appreciation tweet:   Grateful to @GuinnessKE @EABL_PLC @EABLFoundation for getting me a full scholarship to study @StrathU  I would not have been able to co-found @QuestworksKenya, develop @PHostels, Alkira Residences & co-created over 1,000 man year jobs over the last decade",2021-10-07 06:09:00+00:00,39,2
Jana nimepata base true ya ugali omena. Ukiguza hio foundation ata unaeza enda eabl umalize stock na bado urudi home in one piece,2021-08-26 09:16:00+00:00,28,0
"Under the new  commercial graduate trainee programme launched by @EABL_PLC, ladies selected will have an opportunity to secure jobs in the commercial sector thereby creating a strong foundation for the future commercial leadership.   #Paidpartnershipwithdiageo #ChooseToChallenge",2021-05-22 10:39:00+00:00,4,3
U studied IT Cypto in 2008,2021-05-07 17:04:00+00:00,0,0
These guys helped shape lives! We owe them big time,2021-05-07 10:46:00+00:00,1,0
"Thank you @GuinnessKE,  @StrathU @EABLFoundation",2021-05-07 10:27:00+00:00,3,2
I just want to make a series of small donations to the EABL foundation😂 https://www.eablfoundation.com/,2021-04-23 15:51:00+00:00,0,0
Mastercard foundation and KCB are not dumb as you think to ride on this garbage argument from a fraction of headless women who have choose to reason with their mouths,2021-03-29 21:25:00+00:00,0,0
To them all that matters to this country are the two families; Kenyatta and Moi. The rest are flower girls. RARUA Alliance is here to tear apart the evil power architecture set by their forefathers. Kenya must have a fresh foundation and a new face. Shaffie Weru EABL,2021-03-27 14:53:00+00:00,2,0
@USAIDKenya @WorldVisionKE @SafaricomFDN @EABLFoundation,2021-03-16 08:59:00+00:00,0,0
Values is the foundation of a sound mind. Thank you @HamisiKirenga for consistently propagating the message of values and character development. #YouthResilienceKe,2021-02-21 08:40:00+00:00,4,1
"Eden Reforestation Projects, Safaricom Foundation, Initiative for Sustainable Landscapes, WWF, and EABL/Nature Kenya are some of the prominent non-state actors that have adopted various forests.  NCBA has established a 1 million capacity tree nursery.",2021-02-02 11:00:00+00:00,0,1
Some of the Karura fencing was done by the EABL foundation.   I like that.,2020-12-12 02:03:00+00:00,0,0
@jambobetke @SportPesa @odibets @CocaColaAfrica @SafaricomFDN @Safaricom_Care @EABLFoundation @totalkenya @AIRTEL_KE @Betsafe_KE @AlexKobia @KarauriR @moscakenya  @AminaMohamedWTO @AMB_A_Mohammed @StateHouseKenya,2020-12-03 01:41:00+00:00,0,1
@EABLFoundation,2020-11-17 13:46:00+00:00,2,0
"@EABLFoundation has announced an investment of over Ksh20M towards the development of #WASH projects in the Lake Basin areas of Lukume, Olembo, Magunga, Okiki Amayo & Ndhiwa. The projects will be implemented in partnership w/ @KenyaRedCross & @Amref_Kenya https://bit.ly/2ZADpQ7",2020-09-14 04:42:00+00:00,0,0
[Hapa Kenya] EABL Foundation invests Ksh. 20M in water & sanitation project in Western Kenya: EABL Foundation has today announced that it has invested over Ksh. 20 million in water & sanitation project in Western .. https://hapakenya.com/2020/09/10/eabl-foundation-invests-ksh-20m-in-water-sanitation-project-in-western-kenya/ via @HapaKenya,2020-09-10 14:29:00+00:00,0,0
EABL Foundation invests Ksh. 20M in water & sanitation project in Western Kenya https://hapakenya.com/2020/09/10/eabl-foundation-invests-ksh-20m-in-water-sanitation-project-in-western-kenya/,2020-09-10 11:27:00+00:00,0,0
@EABLFoundation Hi. I am interested in some information on a WASH project you did in Makueni. What is the procedure?,2020-08-24 10:02:00+00:00,0,0
"The Kiaoni Borehole project in Makueni County by @EABL_PLC Foundation provides access to clean water to at least 10,000 beneficiaries and the residents hope that the project will mitigate the drought situation in the county. bit.ly/38WaMid #WWWeek2020 #Water4Life",2020-08-24 07:21:00+00:00,14,1
"Guys i am talking about UNEP,UNHCR,WFP,UNESCO,,UN-HABITAT,UNFPA,SAFARICOM,EABL,MERCY cops,ABSA,Centrum,world Bank,PWC,KRA,Uniliver ,Barclays,Bill and Mellinda gates foundation,IBM,Google,Microsoft .Blv you me when i call myself a career achiever i mean it.",2020-08-13 16:44:00+00:00,0,1
