text,date,No_of_likes,No_of_tweets
"Now Beertopia is where you got to walk into a tent set up as a beer tasting house showcasing Eabl's iconic fresh beers from Tusker Lager, stout, Rockshore. They even had seating spaces and outside, a cute set up making shandies. (Beer cocktails).",2023-10-29 13:01:00+00:00,31,1
"We’re definitely feeling the festival atmosphere at the Winning Post for Tusker Oktoba Fest! We have brought the stage set up to life with fabrications,sound and lights creating a moment for you to enjoy. We appreciate our partners @SafaricomPLC and @EABL_PLC for this job.",2023-10-28 12:42:00+00:00,5,1
Tusker Ndimu being EABL’s take on Corona and Lime lol. Tusker though feels too rich for lime.,2023-10-27 18:45:00+00:00,0,0
"When EABL decides 'maisha ni ngumu watu wakunywe TUSKER NDIMU'. That Zingy and Zesty twist is enough to celebrate Kenya, Kenyans and Kenyanness. 100 years of TUSKER. @EABL_PLC #TuskerNdimu",2023-10-27 17:29:00+00:00,2,0
I have largely stuck to EABL's Tusker Lager for the last two years. Some of these 'premium' whiskeys that you people are bingeing on are pure unadulterated poison!,2023-10-23 11:38:00+00:00,0,0
I can imagine. Why we can't invest on our playing surfaces is a mystery.,2023-10-21 12:14:00+00:00,1,0
Sad. Even the grass isn't appropriate for football,2023-10-21 12:03:00+00:00,0,1
@Football_Kenya how did you even approved Ruaraka to host @Officialfkfpl GAMES?  Yaaani @EABL_PLC can't even WATER THE GRASS?  This farm is a big joke to #FootballKE @tusker_fc,2023-10-21 12:03:00+00:00,0,0
@tusker_fc should be at the same level or even higher than @azamfc if their management were to be serious about football.,2023-10-21 11:56:00+00:00,1,1
Dear @EABL_PLC @tuskerlite @TuskerMaltLager it's me again here at Ruaraka farm.  There is enough SPACE to erect a few spectator stands and help @tusker_fc generate REVENUES. Are we asking for too much as @Officialfkfpl fans?  I believe not.. #FootballKE @FootballKe_90,2023-10-21 11:50:00+00:00,9,1
Ever moving with tusker Lager @UgandaBreweries has to do something for u,2023-10-20 21:17:00+00:00,0,0
@Owakitagwenda the passion for Tusker lager @UgandaBreweries the right ambassador,2023-10-20 21:14:00+00:00,1,0
Mission completed. Mambo yanaenda live na tusker baridi @EABL_PLC,2023-10-19 19:29:00+00:00,3,1
It's a promotion by EABL. They always do Tusker Oktobafest in Kenya but this time they have in each of the countries and have named it by their local beer in each country. In UG it's Bell Oktobafest while in TZ it's Serengeti Oktobafest,2023-10-18 16:52:00+00:00,5,1
"Why is EABL-Tusker commercializing Oktoberfest? I thought the original idea was to give the consumer a proper experience and create Brand Affinity, Talkability, Visibility and drive sales during the festival??????",2023-10-18 09:31:00+00:00,3,1
Petition to bring back Tusker project fame ..😮‍💨eabl form?,2023-10-15 20:36:00+00:00,3,1
tusker project fame an eabl franchise product is now led by women and all women do is destroy.,2023-10-15 19:00:00+00:00,0,0
"Someone tag EABL, Tusker #OktobaFestEastAfrica @sapatopips @shamirtadeiya @EABL_PLC @TuskerLager #TuskerNaReggae",2023-10-13 14:57:00+00:00,4,0
@EABL_PLC hello how does one apply for tusker draught,2023-10-11 16:34:00+00:00,0,0
"There's a tusker ad that tusker cider is made from ""real"" apples. Meaning you can give this frothy drink to children or what? EABL/Diageo should be used for customer deception. How come farmers aren't growing apples to meet this demand? Is fanta made from oranges too?",2023-10-07 00:39:00+00:00,0,0
The reason why EABL owns Tusker FC isn't about growing talent. Tusker FC exists purely to create moments like what is in this photo.,2023-10-06 23:29:00+00:00,1,0
Hio imeandikwa EABL labda ni tusker vidonge,2023-10-04 16:48:00+00:00,45,2
Tambuza post paka ku tusker,2023-10-04 07:19:00+00:00,1,0
